firstName	lastName	bio	birth	death	image	nid
Margaret Wander	Bonanno	American Science Fiction Writer, Ghost Writer and Small Press Publisher, Authored six Star Trek Novels	1960	NULL	Margaret-Bonnano-150x150[1].jpg	193094
John Elof	Boodin	Swedish-born American Philosopher, Educator and Author	1869	1950	44636527-john-elof[1].jpg	193095
Book of Common Prayer, aka The Book of Common Prayer	NULL	The Short Title of a number of related Prayer Books used in the Anglican Communion. The original book ,published in 1549 by the Church of England was a product of the English Reformation following the break with Rome.	NULL	NULL	cofe_25925_2a[1].jpg	193096
Book of Golden Precepts, aka The Book of Golden Precepts	NULL	Ancient Buddhist Writing and Spiritual Guide	NULL	NULL	9780913004029[1].jpg	193097
Book of Li, aka Book of Rites or Record of Rites or Classic Rites	NULL	Chinese Pre-Confucian Writings on Proper Comportment and Ritual, “Rules of Propriety”	c. 200 B.C.	c. 100 B.C.	li-chi-or-book-rites-part-ii-kung-fu-tzu-paperback-cover-art[1].jpg	193098
Daniel 	Boorstin, fully Daniel Joseph Boorstin	American Historian, Professor, Attorney, Writer, Twelfth Librarian of the United States Congress 	1914	2004	BoorstinDanielThm[1].jpg	193100
Joe	Boot	Canadian Author, Theologian and Philosopher	NULL	NULL	Joe%20Boot-thumb-185x237-thumb-185x237[1].jpg	193101
Leo	Booth	English-born American Episcopal Priest and Unity Minister, Author, Lecturer and Trainer	1946	NULL	185170_290954187685353_431707770_n[1].jpg	193102
James H.	Boren	American Political Scientist, Humorist and Teacher	1926	2010	51rexfa3LOL._SL500_AA300_[1].jpg	193103
Bernard	Bosanquet	English Philosopher and Political Theorist	1848	1923	Eucken.Rudolf[1].jpg	193106
Subhas Chandra	Bose, aka Netaji	Indian Nationalist Leader who attempted to liberate India from British rule during WWII	1897	1945	NetajiSubhashBose[1].jpg	193107
Jacques-Bénigne	Bossuet	French Divine, Bishop of Condom, Orator, Philosopher, Historian and Supporter of Absolutist Government	1627	1704	bossuet-2-sized[1].jpg	193109
James	Bovard	Civil Libertarian Author and Lecturer	1956	NULL	JamesBovard[1].jpg	193110
Charles S.	Braden	Author on Minority Religions and Ascended Masters	1887	1970	CSS2[1].jpg	193114
Gregg	Braden	American Author, Scientist, Visionary and Scholar	1954	NULL	Gregg-Braden[1].jpg	193115
Preston	Bradley	American Lawyer, Founded and was Pastor at People's Church in Chicago	1889	1983	Bradley%20photo[1].gif	193116
Walter L.	Bradley	Professor of Mechanical Engineering and Author	1943	NULL	Walter_Bradley[1].jpg	193117
Dwight	Bradley	Director of the Council for Social Action of the Congregational Christian Churches	1889	NULL	j12EG-631A[1].jpg	193118
Francis Herbert	Bradley	British Idealist Philosopher	1846	1924	bradley-large[1].gif	193119
Omar	Bradley, fully Omar Nelson Bradley	American Army General, Sr. U.S. Army Field Commander in North Africa and Europe in World War II, last surviving Five-Star General and First General Selected Chairman of the Joint Chiefs of Staff	1893	1981	6170561839_40513608dd_m[1].jpg	193120
Brahmananda, born Guruji Shri Narendra Babu Sharmaji	NULL	Hindu Indian Philosopher	1863	1922	Swami-Brahmananda[1].jpg	193121
Judson B.	Branch	American Chairman of Allstate Insurance Companies	1907	1989	allstate%20logo_full[1].gif	193122
George	Brantl	American Religious Author	1922	1978	504c4cb816ccb_207234n[1].jpg	193124
T. Berry	Brazelton, fully Thomas Berry Brazelton	American Pediatrician and Author	1918	NULL	LIVE.AS_Brazelton[1].jpg	193127
Seán Bán	Breathnach, aka SBB	Irish Television and Radio Broadcaster and Personality in Ireland	c. 1937	NULL	image[1].jpg	193128
Peter R.	Breggin	American Psychiatrist and Author, Psychiatric Reformist, founded The International Center for the Study of Psychiatry and Psychology (ICSPP) and  on the advisory board of Network Against Coercive Psychiatry, an anti-psychiatry organization whose home page asserts that the "mental health establishment has conned the American people"	1936	NULL	568951[1].jpg	193130
André	Bremond	NULL	NULL	NULL	god_273925[1].jpg	193131
William J.	Brennan, Jr.	American Jurist, Associate Justice of the United States Supreme Court	1906	1997	william_brennan[1].jpg	193133
Kwesi	Brew, fully Osborne Henry Kwesi Brew	Ghanaian Diplomat, Poet and Businessman	1928	2007	Kwesi%2BBrew[1].jpg	193134
Brock	Brewer	American Entrepreneur	NULL	NULL	image[1].jpg	193135
James A.	Brewer	NULL	NULL	NULL	NULL	193136
Michael	Bridge	NULL	NULL	NULL	key_to_my_broken_heart-1506[1].jpg	193138
Robert	Bridges, fully Robert Seymour Bridges	British Poet	1844	1930	bridges[1].jpg	193139
William	Bridges, fully Sir William Throsby Bridges	Scottish-Australian Naval Officer, Major General, First Commander of the AIF	1861	1915	A070415_246x550[1].jpg	193140
Edgar Sheffield	Brightman	Philosopher and Christian Theologian in the Methodist tradition, associated with Boston University and Liberal Theology, promulgated the philosophy known as Boston Personalism.	1884	1953	brightman[1].gif	193141
David	Brin	American Scientist, Ph.D., NASA Consultant, Author of Science Fiction winning the Hugo, Locus,[4] Campbell and Nebula Awards	1950	NULL	david-brin-avatar-1377[1].jpg	193143
Alan	Brinkley	Professor of History at Columbia and Provost	1949	NULL	ihr2brinkley[1].jpg	193144
Crane	Brinton, fully Clarence Crane Brinton	American Historian of France, as well as an historian of ideas	1898	1968	Cbrinton6[1].jpg	193145
David Salzer	Broder	American Pulitzer Prize-winning Journalist, Author, Television Talk show Pundit and University Lecturer	1929	2011	Broder,David[1].jpg	193146
Joseph	Brodsky	Russian-born American Poet, winner of Nobel Prize in Literature	1940	NULL	jbrodsky[1].jpg	193147
Charlotte	Brontë	English Novelist	1816	1855	Charlott-Bronte-Biography-library-seva[1].jpg	193148
Adele	Brookman	American Psychotherapist	1946	NULL	AdeleBrookman-e1286232153481[1].jpg	193149
Richard	Brooks	American Screenwriter, Director, Novelist and Film Producer	1912	1992	richard-brooks-1[1].jpg	193150
Henry Peter 	Brougham, 1st Baron Brougham and Vaux	British Statesman, Lord Chancellor of the United Kingdom, Lawyer	1778	1868	weal_02_img0287[1].jpg	193151
Charles Hendrickson	Brower	American Advertising Executive, Copywriter, and Author	1901	1984	c_brower_bio[1].jpg	193152
Gene	Brown	Author and Editor of Children's Books and Young Adult Books	NULL	NULL	41T8QV96H6L._AA160_[1].jpg	193153
Ken	Vehec	American Counselor for Veterans with PTSD, Comic, Professor of Psychology	1959	NULL	MHVet300[1].jpg	193155
J. A. C.	Brown, fully James Alexander Campbell Brown 	Scottish Psychiatrist	1911	1964	50266_162553657111375_6206465_n[1].jpg	193156
John Mason	Brown	American Literary and Drama Critic and Author	1900	1969	Kafka[1].jpg	193157
Robert McAfee	Brown	American Theologist and Activist	1920	2001	RMcABrown[1].gif	193160
Thomas	Browne, fully Sir Thomas Browne	English Author who wrote in diverse fields including Medicine, Religion, Science and the Esoteric	1605	1682	250px-Sir_Thomas_Browne_by_Joan_Carlile[1].jpg	193161
William Adams	Brown	American Theologian, Presbyterian Minister, Acting President of Yale University from 1919-1920	1865	1943	olda_000181.03_w[1].jpg	193162
R. E. C.	Browne, fully Robert Eric Charles Browne	Irish Church of England Clergyman and Religious Writer	c. 1906	c. 1965	anglican_cathedral[1].jpg	193164
Leroy	Brownlow	American Preacher, Author, Publisher and Businessman	1914	2002	brownlow,leroy0001a[1].jpg	193167
R. L.	Bruckberger, fully Raymond Léopold Bruckberger	French Dominican Catholic Priest, Writer, Translator, Screenwriter, Résistance Member and Author	1907	1998	AVT_Raymond-Leopold-Bruckberger_4004[1].jpeg	193168
Walter	Brueggemann	American Protestant Old Testament Scholar and Theologian	1933	NULL	walter_bruggeman[1].jpg	193169
Emil	Brunner, fully Heinrich Emil Brunner	Swiss Protestant (Reformed) Theologian, along with Karl Barth is associated with Neo-Orthodoxy or the Dialectical Theology Movement	1889	1966	brunner8[1].jpg	193170
Giordano	Bruno, born Filippo Bruno	Italian Dominican Friar, Philosopher, Mathematician and Astronomer	1548	1600	Giordano+Bruno[1].jpg	193171
Bear	Bryant, fully Paul William "Bear" Bryant	American College Football Coach best known as the longtime head coach of the University of Alabama Football Team, voted National Coach of the Year three times	1913	1983	62050-004-9F518E4B[1].jpg	193173
James	Bryce, 1st Viscount Bryce	English Political Scientist, Academic, Jurist, Historian and Liberal Politican	1838	1922	220px-James_Bryce%2C_1st_Viscount_Bryce_%26_Andrew_Carnegie_-_Project_Gutenberg_eText_17976[1].jpg	193174
Pat	Buchanan, fully Patrick Joseph "Pat" Buchanan	American Paleoconservative Racist Political Commentator, Nazi Sympathizer, Author, Syndicated Columnist, Politician and Broadcaster, sought Presidential Nomination on the Reform Party ticket	1938	NULL	marriage-pat-buchanan-207x300[1].jpg	193176
Frank	Buchman, fully Frank Nathaniel Daniel Buchman	American Protestant Christian Evangelist who founded the Oxford Group	1878	1961	photo001[1].jpg	193177
Henry Thomas	Buckle	Major Figure in the Positivist Movement in historical scholarship	1821	1862	BuckleHenryThm[1].jpg	193179
William F.	Buckley, Jr.	American Intellectual, Interviewer, Author	1951	NULL	105548-004-495676E3[1].jpg	193180
J.E.	Buckrose, pseudonym of Annie Edith Foster Jameson	American Novelist and Journalist	1868	NULL	wpb467770d_1b[1].jpg	193181
Buddhist Discourses	NULL	NULL	NULL	NULL	298304936_c2d2ca8c00[1].jpg	193183
Sutta	Nipata	Buddhist Scripture, part of the Pali Canon of Theravada Buddhism	NULL	NULL	side_image_114[1].jpg	193184
Carl W Frederick	Buechner	William Belden Noble Lecturer at Harvard, Contemporary Christian Author and Theologian	1926	NULL	frederick-buechner1[1].jpeg	193186
Thomas Robert	Bugeaud, Marquis de la Pinconnerie, duc d'Isly	French Marshal and Governor-General of Algeria	1784	1849	medium[1].jpg	193188
Rudolf	Bultmann, fully Rudolf Karl Bultmann	German Lutheran Theologian and New Testament Scholar	1884	1976	bultmann2[1].jpg	193189
Luis	Buñuel, fully Luis Buñuel Portolés 	Spanish-born Filmmaker, Naturalized Citizen of MExico	1900	1983	600full-luis-bu%C3%B1uel[1].jpg	193192
Luther	Burbank	American Plant Breeder, Horticulturist and Botanist	1849	1926	burbank3[1].jpg	193194
Jacob	Burckhardt, fully Carl Jacob (or Jakob) Christoph Burckhardt	Historian of Art and Culture	1818	1897	jacobburckhardt[1].jpg	193195
Robert Jones	Burdette	American Newpaper Editor, Humorist and Clergyman	1844	1914	220px-Burdette_5333426772_c3cb9e9ba1_o[1].jpg	193196
Thomas	Burke	British Author	1886	1945	Tom_Burke[1].jpg	193197
Yehuda	Burla	Israeli Writer, Director of Hebrew Schools in Damascus, President of the Hebrew Writers Association, Chairman of the Bibliographical Foundation	1886	1969	Yehuda_Burla[1].jpg	193198
Jean-Jacques	Burlamaqui	Swiss Legal and Political Theorist	1694	1748	Burlamaqui[1].jpg	193199
Edward	Burne-Jones, fully Sir Edward Coley Burne-Jones, 1st Baronet	British Artist and Designer	1833	1898	bj[1].jpg	193200
James MacGregor	Burns	Historian and Political Scientist	1918	NULL	15020[1].jpg	193201
Frances Hodgson	Burnett, fully Frances Eliza Hodgson Burnett	English Playwright and Author known for her children's stories, in particular The Secret Garden, A Little Princess, and Little Lord Fauntleroy	1849	1924	frances_hodgson_burnett[1].jpg	193202
Daniel Hudson	Burnham	American Architect and Urban Planner	1846	1912	sidephoto-building-arch1[1].jpg	193203
George	Burns, born Nathan Birnbaum	American Comedian, Actor, and Writer	1896	1996	george_burns[1].jpg	193204
William S.	Burroughs, fully William Seward Burroughs II	American Novelist, Short Story Writer, Essayist, Painter and Spoken Word Performer	1914	1997	william-seward-burroughs[1].jpg	193205
Robert	Burton	English Clergyman, Writer and Scholar at Oxford University	1577	1640	rBurton[1].jpg	193206
Edwin Arthur	Burtt	American Philosopher who wrote extensively on the Philosophy of Religion	1892	1989	211881r662[1].jpeg	193207
J. B.	Bury, fully John Bagnell Bury	Irish Historian, Scholar Byzantinist and Philologist	1861	1927	Bury_photo2[1].jpg	193208
Leo	Busacaglia	American Author, Motivational Speaker and Professor in Department of Special Education at the University of Southern California	1924	1998	buscaglia[1].jpg	193209
Barbara 	Bush, fully Barbara Pierce Bush	First Lady, Wife of 41st American President, George Bush, Advanced Universal Literacy Cause	1925	NULL	barbarabush-190[1].jpg	193210
Vannevar	Bush	American Engineer, Inventor and Science Administrator known for his work on analog computers	1890	1974	bush_v[1].jpg	193211
Ferruccio	Busoni, fully Ferruccio Dante Michelangelo Benvenuto Busoni	Italian Composer, Pianist, Editor, Writer, Piano and Composition Teacher and Conductor	1866	1924	busoni[1].jpg	193212
Edward Burgess	Butler	American Businessman, Founder of Butler Brothers Department Stores	1853	1928	Edward-Burgess-Butler-150x150[1].jpg	193214
Katy	Butler	American Buddhist Journalist, Essayist, Cultural Critic and Writer	fl. 2004	NULL	image337[1].jpg	193215
Tom	Butler-Bowdon	Australian-born English Non-Fiction Author of the 50 Self-Help Classics Series	1967	NULL	1b84e03ae7a0fc1561f82210.L._V192282549_SX200_[1].jpg	193216
Herbert	Butterfield, fully Sir Herbert Butterfield	English Historian and Philosopher of History, best known for "The Whig Interpretation of Historyh" and "Origins of Modern Science"	1900	1979	9780300098075[1].jpg	193217
George Arthur	Buttrick	British Presbyterian Minister	1892	1979	21255399_125854768777[1].jpg	193218
Martin	Buxbaum	American Author, Poet and Editor	1912	1991	MARTINBUXBAUM_MEWSETTE[1].jpg	193219
Henry James	Byron	English Dramatist, Editor, Journalist, Director, Theater Manager, Novelist and Actor	1835	1884	220px-Goodoldgaietyhis00holluoft_47[1].jpg	193222
George N	Gordon	Canadian Protestant Missionary	1822	1861	120px-Missionary_ship_Duff[1].jpg	193224
Pierre	Cabanis, fully Pierre Jean George Cabanis	French Physiologist and Materialist Philosopher	1757	1808	CabanisGeorgesThm[1].jpg	193225
Richard Clarke	Cabot	American Physician who advanced Clinical Hematology, Pioneer in Social Work	1868	1939	101306_kelman_herbert_04[1].jpg	193226
Amilcar	Cabral	Guinea-Bissauan Nationalist	1924	1973	amilcar-cabral[1].jpg	193227
Pedro	Calderón de la Barca, fully Pedro Calderón de la Barca y Barreda González de Henao Ruiz de Blasco y Riaño 	Spanish Dramatist, Poet and Writer	1600	1681	Calderon-03[1].jpg	193229
Philip	Caldwell	American Businessman, first person to run the Ford Motor Company who was not a member of the Ford family	1920	2013	Philip-Caldwell-150x150[1].jpg	193230
Joseph Anthony	Califano, Jr.	American Secretary of Health, Education and Welfare, Founder and Chairman of The National Center on Addition and Substance Abuse (CASA) at Columbia University	1931	NULL	217px-JAC_AR_2007[1].jpg	193231
Raymond	Calkins	American Congregational Reverend of First Church in Cambridge near Harvard University, Teacher and Scholar, Lecturer at Yale	1869	NULL	Image7A[1].jpg	193232
François de	Callières, sieur de Rochelay et de Gigny	French Diplomat and Writer	1645	1717	x001805.jpg.pagespeed.ic_.dGJqQHQxgV[1].jpg	193234
Hélder	Câmara, fully Dom Hélder Pessoa Câmara	Brazilian Roman Catholic Archbishop of Olinda and Recife	1909	1999	full[1].jpg	193236
Tommaso	Campanella, baptized Giovanni Domenico Campanella	Italian Philosopher, Theologian, Astrologer and Poet	1568	1639	Campanella%20particolare[1].jpg	193238
T. Colin	Campbell	American Biochemist, Nutritional Researcher, Professor of Nutritional Biochemistry at Cornell University and Author best known for "The China Study"	1934	NULL	T.-Colin-Campbell1[1].jpg	193240
Elias	Canetti	Bulgarian Novelist, Playwright, Memoirist and Non-Fiction Writer	1905	1994	canetti-blue-article[1].jpg	193242
Eddie	Cantor, born Edward Israel Iskowitz	American "Illustrated Song" Performer, Comedian, Dancer, Singer, Actor and Songwriter	1892	1964	eddie+cantor[1].jpg	193243
Benjamin	Cardozo, fully Benjamin Nathan Cardozo	American Lawyer and Associate Supreme Court Justice	1870	1938	240x240_bioim_cel_2_1-34-bc[1].jpg	193244
Sandra	Carey	NULL	NULL	NULL	2837128711_59740ee027[1].jpg	193245
Allan C	Carlson	Scholar and Professor of History	1949	NULL	_2247[1].jpg	193247
Stokely	Carmichael	Trinidadian-American Civil Rights Activist	1941	1998	tumblr_lsk6fosnIC1qiunkeo1_500[1].jpg	193249
Thomas A.	Carney	NULL	NULL	NULL	3367146-264401-medieval-heart-with-wings-for-religion-or-tattoo-design[1].jpg	193252
Lewis	Carroll, pseudonym for Charles Lutwidge Dodgson	English Author, Mathematician, Logician, Anglican Deacon and Photographer. Best known for Alice's Adventures In Wonderland and sequel Through the Looking Glass	1832	1898	bm_th_188__36886.1308844953.1280.1280[1].jpg	193253
Albert M	Carr	NULL	1902	1971	constitutiondaypic[1].png	193254
Edward Hallet "Ted"	Carr 	Liberal Realist and later Left-wing British Historian, Journalist and International Relations Theorist, an opponent of Empiricism within Historiography	1892	1982	220px-Eh_carr[1].jpg	193255
Albert	Carré	French Theater Director, Actor and Librettist	1852	1938	halphen01[1].jpg	193256
